iter	Passed	Remaining
584	5768	4092
585	5771	4077
586	5777	4065
587	5785	4053
588	5796	4044
589	5798	4029
590	5800	4014
591	5803	3999
592	5807	3986
593	5809	3971
594	5812	3956
595	5814	3941
596	5817	3927
597	5825	3916
598	5828	3901
599	5830	3886
600	5832	3872
601	5839	3860
602	5841	3846
603	5844	3831
604	5846	3817
605	5852	3805
606	5855	3790
607	5857	3776
608	5859	3762
609	5862	3747
610	5864	3733
611	5867	3719
612	5870	3705
613	5877	3695
614	5879	3680
615	5882	3666
616	5884	3652
617	5888	3639
618	5893	3627
619	5903	3618
620	5908	3605
621	5910	3591
622	5912	3578
623	5915	3564
624	5920	3552
625	5923	3538
626	5925	3525
627	5928	3511
628	5930	3498
629	5933	3484
630	5935	3470
631	5938	3457
632	5940	3444
633	5946	3432
634	5948	3419
635	5951	3406
636	5953	3392
637	5956	3379
638	5977	3377
639	5980	3363
640	5986	3352
641	5992	3341
642	5995	3328
643	5997	3315
644	6000	3302
645	6002	3289
646	6004	3276
647	6007	3263
648	6009	3250
649	6015	3239
650	6018	3226
651	6021	3213
652	6023	3200
653	6027	3188
654	6030	3176
655	6033	3163
656	6035	3150
657	6037	3138
658	6044	3127
659	6048	3115
660	6050	3103
661	6053	3090
662	6056	3078
663	6062	3067
664	6072	3059
665	6074	3046
666	6077	3034
667	6079	3021
668	6081	3009
669	6084	2996
670	6091	2986
671	6094	2974
672	6096	2962
673	6103	2952
674	6105	2939
675	6108	2927
676	6110	2915
677	6116	2904
678	6118	2892
679	6121	2880
680	6123	2868
681	6125	2856
682	6131	2845
683	6133	2833
684	6136	2821
685	6138	2809
686	6140	2797
687	6148	2788
688	6150	2776
689	6152	2764
690	6168	2758
691	6175	2748
692	6178	2736
693	6180	2725
694	6182	2713
695	6188	2702
696	6193	2692
697	6195	2680
698	6197	2668
699	6202	2658
700	6206	2647
701	6208	2635
702	6211	2624
703	6213	2612
704	6217	2601
705	6221	2590
706	6223	2579
707	6243	2575
708	6248	2564
709	6252	2553
710	6255	2542
711	6257	2531
712	6260	2520
713	6263	2509
714	6267	2498
715	6271	2487
716	6274	2476
717	6276	2465
718	6279	2454
719	6282	2443
720	6284	2431
721	6286	2420
722	6289	2409
723	6291	2398
724	6295	2387
725	6298	2377
726	6301	2366
727	6303	2355
728	6306	2344
729	6308	2333
730	6317	2324
731	6319	2313
732	6322	2302
733	6326	2292
734	6328	2281
735	6331	2270
736	6333	2260
737	6335	2249
738	6342	2239
739	6344	2229
740	6346	2218
741	6349	2207
742	6351	2196
743	6356	2187
744	6358	2176
745	6361	2165
746	6365	2156
747	6373	2147
748	6375	2136
749	6378	2126
750	6380	2115
751	6383	2105
752	6386	2094
753	6388	2084
754	6396	2075
755	6401	2065
756	6403	2055
757	6405	2045
758	6413	2036
759	6415	2026
760	6418	2015
761	6423	2006
762	6425	1995
763	6427	1985
764	6430	1975
765	6432	1965
766	6444	1957
767	6446	1947
768	6448	1937
769	6451	1926
770	6453	1916
771	6455	1906
772	6459	1896
773	6464	1887
774	6467	1877
775	6469	1867
776	6471	1857
777	6483	1850
778	6486	1840
779	6488	1830
780	6495	1821
781	6498	1811
782	6500	1801
783	6503	1791
784	6514	1784
785	6516	1774
786	6520	1764
787	6526	1755
788	6532	1746
789	6562	1744
790	6564	1734
791	6576	1727
792	6578	1717
793	6588	1709
794	6590	1699
795	6593	1689
796	6603	1681
797	6605	1672
798	6608	1662
799	6616	1654
800	6619	1644
801	6621	1634
802	6623	1624
803	6626	1615
804	6628	1605
805	6630	1595
806	6633	1586
807	6642	1578
808	6644	1568
809	6647	1559
810	6655	1551
811	6657	1541
812	6677	1536
813	6690	1528
814	6693	1519
815	6734	1518
816	6737	1509
817	6746	1501
818	6749	1491
819	6800	1492
820	6830	1489
821	6842	1481
822	6845	1472
823	6887	1471
824	6890	1461
825	6901	1453
826	6904	1444
827	6916	1436
828	6919	1427
829	7015	1436
830	7027	1429
831	7032	1420
832	7045	1412
833	7102	1413
834	7105	1404
835	7107	1394
836	7115	1385
837	7118	1376
838	7120	1366
839	7125	1357
840	7128	1347
841	7132	1338
842	7134	1328
843	7136	1319
844	7139	1309
845	7141	1300
846	7144	1290
847	7146	1281
848	7162	1273
849	7170	1265
850	7173	1255
851	7177	1246
852	7179	1237
853	7181	1227
854	7195	1220
855	7199	1211
856	7203	1202
857	7206	1192
858	7208	1183
859	7210	1173
860	7216	1165
861	7219	1155
862	7223	1146
863	7230	1138
864	7233	1128
865	7237	1119
866	7239	1110
867	7249	1102
868	7252	1093
869	7255	1084
870	7263	1075
871	7271	1067
872	7276	1058
873	7281	1049
874	7284	1040
875	7294	1032
876	7296	1023
877	7313	1016
878	7357	1012
879	7373	1005
880	7378	996
881	7384	988
882	7393	979
883	7395	970
884	7397	961
885	7408	953
886	7415	944
887	7431	937
888	7440	929
889	7443	919
890	7445	910
891	7457	902
892	7460	893
893	7462	884
894	7465	875
895	7469	867
896	7480	858
897	7483	850
898	7486	841
899	7493	832
900	7496	823
901	7498	814
902	7501	805
903	7503	796
904	7506	788
905	7518	780
906	7520	771
907	7523	762
908	7537	754
909	7543	746
910	7547	737
911	7550	728
912	7552	719
913	7558	711
914	7560	702
915	7563	693
916	7566	684
917	7575	676
918	7578	667
919	7580	659
920	7583	650
921	7599	642
922	7603	634
923	7606	625
924	7609	616
925	7611	608
926	7620	600
927	7622	591
928	7626	582
929	7631	574
930	7635	565
931	7637	557
932	7639	548
933	7646	540
934	7649	531
935	7651	523
936	7660	515
937	7662	506
938	7665	497
939	7668	489
940	7675	481
941	7677	472
942	7679	464
943	7682	455
944	7697	447
945	7703	439
946	7706	431
947	7709	422
948	7712	414
949	7717	406
950	7720	397
951	7723	389
952	7725	381
953	7730	372
954	7733	364
955	7736	356
956	7738	347
957	7741	339
958	7743	331
959	7746	322
960	7748	314
961	7751	306
962	7762	298
963	7764	289
964	7767	281
965	7770	273
966	7772	265
967	7777	257
968	7781	248
969	7784	240
970	7786	232
971	7791	224
972	7794	216
973	7797	208
974	7802	200
975	7811	192
976	7818	184
977	7821	175
978	7825	167
979	7827	159
980	7830	151
981	7834	143
982	7837	135
983	7839	127
984	7861	119
985	7911	112
986	7919	104
987	7921	96
988	7924	88
989	7927	80
990	7930	72
991	7932	63
992	7935	55
993	7937	47
994	7939	39
995	7955	31
996	7983	24
997	7985	16
998	7988	7
999	8001	0
